query,mode,median_seconds,min_seconds,max_seconds,median_rss_gib,vs_dynamic,vs_legacy,transferred,growths,growth_gib,observed_buffer_gib
q25,legacy,2.560000,1.800000,2.860000,1.454475,1.122807,1.000000,,,,
q25,dynamic,2.280000,2.040000,2.890000,2.220306,1.000000,0.890625,,,,
q25,selective-0,2.500000,2.410000,2.790000,2.253021,1.096491,0.976562,0,472,0.413544,0.671532
q25,selective-1,1.990000,1.900000,2.080000,1.816475,0.872807,0.777344,461,330,0.409359,0.663761
q25,selective-2,2.200000,1.870000,2.410000,1.716938,0.964912,0.859375,682,309,0.391827,0.659828
q25,selective-4,2.710000,2.590000,2.920000,1.696980,1.188596,1.058594,644,289,0.383938,0.651829
q25,static,2.880000,2.760000,2.970000,30.762978,1.263158,1.125000,,,,
q28,legacy,4.530000,4.250000,4.590000,7.549152,0.379079,1.000000,,,,
q28,dynamic,11.950000,10.990000,12.670000,13.693260,1.000000,2.637969,,,,
q28,selective-0,12.220000,11.630000,12.810000,14.315792,1.022594,2.697572,0,569,5.591171,6.528545
q28,selective-1,8.640000,7.720000,9.000000,10.170971,0.723013,1.907285,930,358,4.489380,5.488937
q28,selective-2,8.120000,7.610000,8.570000,10.334663,0.679498,1.792494,1012,359,4.751015,5.699360
q28,selective-4,7.910000,7.530000,8.160000,9.646599,0.661925,1.746137,1179,344,4.533764,5.531261
q28,static,4.800000,3.010000,5.380000,30.784889,0.401674,1.059603,,,,
q26,legacy,2.190000,1.930000,3.130000,1.303410,0.842308,1.000000,,,,
q26,dynamic,2.600000,2.560000,2.870000,2.238590,1.000000,1.187215,,,,
q26,selective-0,2.850000,2.180000,2.900000,2.170803,1.096154,1.301370,0,479,0.383732,0.557274
q26,selective-1,2.040000,1.930000,2.590000,1.776073,0.784615,0.931507,464,329,0.352219,0.547531
q26,selective-2,2.020000,1.930000,2.270000,1.646233,0.776923,0.922374,620,303,0.371998,0.548363
q26,selective-4,2.000000,1.870000,3.110000,1.607487,0.769231,0.913242,688,299,0.340469,0.540142
q26,static,2.960000,2.100000,2.990000,30.727783,1.138462,1.351598,,,,
q27,legacy,3.140000,2.800000,3.220000,1.467110,1.236220,1.000000,,,,
q27,dynamic,2.540000,2.060000,2.590000,2.237606,1.000000,0.808917,,,,
q27,selective-0,2.430000,2.330000,3.610000,2.247040,0.956693,0.773885,0,449,0.407616,0.671631
q27,selective-1,2.500000,2.150000,3.210000,1.819172,0.984252,0.796178,538,351,0.378498,0.662006
q27,selective-2,3.020000,2.870000,3.320000,1.742386,1.188976,0.961783,598,305,0.374622,0.653305
q27,selective-4,3.120000,2.900000,3.190000,1.741673,1.228346,0.993631,602,316,0.375092,0.652977
q27,static,3.280000,2.390000,3.290000,30.780323,1.291339,1.044586,,,,
q43,legacy,1.210000,1.190000,1.330000,1.093395,0.909774,1.000000,,,,
q43,dynamic,1.330000,1.210000,1.520000,1.097488,1.000000,1.099174,,,,
q43,selective-0,1.390000,1.160000,1.410000,1.072083,1.045113,1.148760,0,0,0.000000,0.338932
q43,selective-1,1.200000,1.110000,1.350000,1.070213,0.902256,0.991736,74,0,0.000000,0.338890
q43,selective-2,1.380000,1.170000,1.390000,1.070309,1.037594,1.140496,74,0,0.000000,0.338829
q43,selective-4,1.320000,1.280000,1.340000,1.072102,0.992481,1.090909,74,0,0.000000,0.338898
q43,static,1.100000,1.070000,1.300000,30.787796,0.827068,0.909091,,,,
q37,legacy,3.440000,3.170000,3.500000,8.969990,0.296552,1.000000,,,,
q37,dynamic,11.600000,10.550000,11.960000,15.804649,1.000000,3.372093,,,,
q37,selective-0,11.040000,10.890000,11.380000,14.919140,0.951724,3.209302,0,572,5.524818,6.628731
q37,selective-1,7.380000,7.330000,8.450000,11.607426,0.636207,2.145349,789,321,4.340820,5.515167
q37,selective-2,7.440000,7.280000,7.560000,10.963100,0.641379,2.162791,970,319,4.340034,5.489208
q37,selective-4,6.740000,6.670000,6.900000,10.474682,0.581034,1.959302,1133,319,4.213425,5.352146
q37,static,2.800000,2.620000,2.850000,32.124943,0.241379,0.813953,,,,
q30,legacy,1.690000,1.310000,1.730000,0.749607,1.111842,1.000000,,,,
q30,dynamic,1.520000,1.340000,1.720000,0.750900,1.000000,0.899408,,,,
q30,selective-0,1.590000,1.390000,1.680000,0.748795,1.046053,0.940828,0,0,0.000000,0.056652
q30,selective-1,1.280000,1.140000,1.390000,0.749668,0.842105,0.757396,122,0,0.000000,0.056580
q30,selective-2,1.470000,1.410000,1.500000,0.749874,0.967105,0.869822,137,0,0.000000,0.056610
q30,selective-4,1.370000,1.330000,1.670000,0.748829,0.901316,0.810651,133,0,0.000000,0.056568
q30,static,1.650000,1.320000,1.710000,30.723297,1.085526,0.976331,,,,
q39,legacy,3.390000,3.070000,4.310000,7.850124,0.303220,1.000000,,,,
q39,dynamic,11.180000,10.390000,11.520000,14.391884,1.000000,3.297935,,,,
q39,selective-0,10.790000,10.350000,11.110000,12.969952,0.965116,3.182891,0,552,5.607521,6.832664
q39,selective-1,6.770000,6.580000,7.240000,9.265202,0.605546,1.997050,926,322,4.477482,5.692600
q39,selective-2,6.710000,6.570000,7.060000,9.070374,0.600179,1.979351,1184,307,4.395023,5.571449
q39,selective-4,6.440000,6.090000,7.060000,8.945961,0.576029,1.899705,1174,295,4.404293,5.704166
q39,static,2.650000,2.580000,2.730000,30.854237,0.237030,0.781711,,,,
q40,legacy,4.810000,4.750000,5.240000,12.771904,0.368018,1.000000,,,,
q40,dynamic,13.070000,13.050000,13.100000,20.757324,1.000000,2.717256,,,,
q40,selective-0,13.380000,12.510000,13.660000,20.425991,1.023718,2.781705,0,940,6.917583,8.979633
q40,selective-1,10.180000,9.800000,10.900000,16.460106,0.778883,2.116424,954,636,5.759144,7.865974
q40,selective-2,9.100000,9.060000,10.410000,15.165195,0.696251,1.891892,1137,562,5.285206,7.376053
q40,selective-4,9.250000,8.650000,9.790000,15.049660,0.707728,1.923077,1249,569,5.073868,7.161865
q40,static,4.640000,4.250000,4.790000,32.974720,0.355011,0.964657,,,,
q07,legacy,1.300000,1.160000,1.570000,0.747116,0.866667,1.000000,,,,
q07,dynamic,1.500000,1.500000,1.550000,0.745277,1.000000,1.153846,,,,
q07,selective-0,1.600000,1.290000,1.840000,0.747749,1.066667,1.230769,0,0,0.000000,0.056622
q07,selective-1,1.480000,1.390000,1.510000,0.748867,0.986667,1.138462,119,0,0.000000,0.056625
q07,selective-2,1.310000,1.080000,1.350000,0.749027,0.873333,1.007692,147,0,0.000000,0.056595
q07,selective-4,1.410000,1.250000,1.410000,0.748562,0.940000,1.084615,147,0,0.000000,0.056625
q07,static,1.230000,1.200000,1.490000,30.719830,0.820000,0.946154,,,,
q38,legacy,4.320000,3.380000,5.990000,4.274956,0.640000,1.000000,,,,
q38,dynamic,6.750000,6.550000,6.950000,7.825535,1.000000,1.562500,,,,
q38,selective-0,6.700000,6.230000,7.100000,7.113911,0.992593,1.550926,0,353,1.536106,3.226952
q38,selective-1,5.080000,5.010000,6.590000,6.345215,0.752593,1.175926,670,235,1.460804,3.087303
q38,selective-2,6.120000,4.990000,6.670000,6.289486,0.906667,1.416667,793,238,1.403282,3.043140
q38,selective-4,5.370000,4.960000,5.830000,6.198425,0.795556,1.243056,857,238,1.375061,3.016235
q38,static,5.400000,3.360000,5.440000,30.889622,0.800000,1.250000,,,,
q42,legacy,1.410000,1.140000,1.690000,1.204781,1.155738,1.000000,,,,
q42,dynamic,1.220000,1.170000,1.480000,1.215164,1.000000,0.865248,,,,
q42,selective-0,1.420000,1.100000,1.430000,1.188057,1.163934,1.007092,0,0,0.000000,0.452274
q42,selective-1,1.440000,1.360000,1.520000,1.190220,1.180328,1.021277,74,0,0.000000,0.452206
q42,selective-2,1.370000,1.240000,1.380000,1.191658,1.122951,0.971631,74,0,0.000000,0.452213
q42,selective-4,1.420000,1.370000,1.480000,1.191429,1.163934,1.007092,74,0,0.000000,0.452198
q42,static,1.050000,1.020000,1.100000,30.789238,0.860656,0.744681,,,,
q02,legacy,1.150000,1.010000,1.310000,0.744110,0.858209,1.000000,,,,
q02,dynamic,1.340000,0.973000,1.390000,0.758369,1.000000,1.165217,,,,
q02,selective-0,1.330000,1.050000,1.360000,0.745758,0.992537,1.156522,0,0,0.000000,0.056610
q02,selective-1,1.240000,1.110000,1.460000,0.747768,0.925373,1.078261,84,0,0.000000,0.056614
q02,selective-2,1.160000,1.120000,1.210000,0.747463,0.865672,1.008696,89,0,0.000000,0.056602
q02,selective-4,1.250000,1.200000,1.260000,0.747730,0.932836,1.086957,97,0,0.000000,0.056625
q02,static,1.290000,0.971000,1.330000,30.717445,0.962687,1.121739,,,,
q08,legacy,1.340000,1.320000,1.370000,0.773853,0.971014,1.000000,,,,
q08,dynamic,1.380000,1.380000,1.410000,0.770023,1.000000,1.029851,,,,
