stage,query,before,after,before_seconds,after_seconds,ratio,change_percent
metrics_overhead,q00,selective-4,selective-base,1.12,1.25,1.1160714285714284,11.607142857142838
metrics_overhead,q01,selective-4,selective-base,1.15,1.26,1.0956521739130436,9.565217391304358
metrics_overhead,q02,selective-4,selective-base,1.24,1.27,1.0241935483870968,2.4193548387096753
metrics_overhead,q03,selective-4,selective-base,1.52,1.59,1.0460526315789473,4.6052631578947345
metrics_overhead,q04,selective-4,selective-base,1.42,1.47,1.0352112676056338,3.5211267605633756
metrics_overhead,q05,selective-4,selective-base,1.79,1.71,0.9553072625698323,-4.469273743016766
metrics_overhead,q06,selective-4,selective-base,4.09,4.22,1.0317848410757946,3.17848410757946
metrics_overhead,q07,selective-4,selective-base,1.38,1.57,1.13768115942029,13.768115942029002
metrics_overhead,q08,selective-4,selective-base,1.25,1.27,1.016,1.6000000000000014
metrics_overhead,q09,selective-4,selective-base,3.68,3.65,0.9918478260869564,-0.815217391304357
metrics_overhead,q10,selective-4,selective-base,3.88,3.93,1.0128865979381445,1.2886597938144506
metrics_overhead,q11,selective-4,selective-base,1.76,1.8,1.0227272727272727,2.2727272727272707
metrics_overhead,q12,selective-4,selective-base,1.83,1.88,1.0273224043715845,2.7322404371584508
metrics_overhead,q13,selective-4,selective-base,4.51,4.52,1.0022172949002217,0.22172949002217113
metrics_overhead,q14,selective-4,selective-base,5.13,5.24,1.0214424951267058,2.144249512670582
metrics_overhead,q15,selective-4,selective-base,4.58,4.65,1.01528384279476,1.5283842794759916
metrics_overhead,q16,selective-4,selective-base,1.69,1.82,1.076923076923077,7.692307692307709
metrics_overhead,q17,selective-4,selective-base,5.82,5.82,1.0,0.0
metrics_overhead,q18,selective-4,selective-base,5.52,5.58,1.0108695652173914,1.0869565217391353
metrics_overhead,q19,selective-4,selective-base,13.75,13.85,1.0072727272727273,0.727272727272732
metrics_overhead,q20,selective-4,selective-base,1.11,1.21,1.09009009009009,9.009009009009006
metrics_overhead,q21,selective-4,selective-base,7.78,7.66,0.9845758354755784,-1.5424164524421635
metrics_overhead,q22,selective-4,selective-base,7.13,7.29,1.0224403927068724,2.244039270687237
metrics_overhead,q23,selective-4,selective-base,10.79,10.75,0.9962928637627434,-0.3707136237256603
metrics_overhead,q24,selective-4,selective-base,37.88,38.14,1.0068637803590283,0.6863780359028349
metrics_overhead,q25,selective-4,selective-base,1.92,1.97,1.0260416666666667,2.604166666666674
metrics_overhead,q26,selective-4,selective-base,1.84,1.94,1.0543478260869565,5.434782608695654
metrics_overhead,q27,selective-4,selective-base,1.99,2.1,1.0552763819095479,5.527638190954787
metrics_overhead,q28,selective-4,selective-base,7.08,6.63,0.9364406779661016,-6.355932203389836
metrics_overhead,q29,selective-4,selective-base,50.63,50.87,1.0047402725656724,0.4740272565672443
metrics_overhead,q30,selective-4,selective-base,1.36,1.44,1.0588235294117645,5.88235294117645
metrics_overhead,q31,selective-4,selective-base,3.84,3.91,1.0182291666666667,1.822916666666674
metrics_overhead,q32,selective-4,selective-base,6.05,5.47,0.9041322314049587,-9.58677685950413
metrics_overhead,q33,selective-4,selective-base,38.64,36.54,0.9456521739130435,-5.434782608695654
metrics_overhead,q34,selective-4,selective-base,25.44,25.11,0.9870283018867924,-1.2971698113207641
metrics_overhead,q35,selective-4,selective-base,25.0,25.01,1.0004,0.039999999999995595
metrics_overhead,q36,selective-4,selective-base,4.17,4.2,1.0071942446043165,0.7194244604316502
metrics_overhead,q37,selective-4,selective-base,7.14,6.49,0.9089635854341738,-9.103641456582622
metrics_overhead,q38,selective-4,selective-base,4.94,5.03,1.0182186234817814,1.8218623481781382
metrics_overhead,q39,selective-4,selective-base,6.15,6.37,1.0357723577235771,3.577235772357712
metrics_overhead,q40,selective-4,selective-base,8.88,9.43,1.061936936936937,6.1936936936936915
metrics_overhead,q41,selective-4,selective-base,1.42,1.4,0.9859154929577465,-1.4084507042253502
metrics_overhead,q42,selective-4,selective-base,1.44,1.38,0.9583333333333333,-4.166666666666674
metrics_overhead,q43,selective-4,selective-base,1.42,1.37,0.9647887323943664,-3.5211267605633645
growth_gate,q00,selective-base,selective-gate,1.25,1.58,1.264,26.400000000000002
growth_gate,q01,selective-base,selective-gate,1.26,1.5,1.1904761904761905,19.047619047619047
growth_gate,q02,selective-base,selective-gate,1.27,1.36,1.0708661417322836,7.086614173228356
growth_gate,q03,selective-base,selective-gate,1.59,1.79,1.1257861635220126,12.578616352201255
growth_gate,q04,selective-base,selective-gate,1.47,1.56,1.0612244897959184,6.1224489795918435
growth_gate,q05,selective-base,selective-gate,1.71,1.92,1.1228070175438596,12.280701754385959
growth_gate,q06,selective-base,selective-gate,4.22,4.38,1.037914691943128,3.791469194312791
growth_gate,q07,selective-base,selective-gate,1.57,1.67,1.0636942675159236,6.369426751592355
growth_gate,q08,selective-base,selective-gate,1.27,1.42,1.1181102362204725,11.811023622047244
growth_gate,q09,selective-base,selective-gate,3.65,3.7,1.0136986301369864,1.3698630136986356
growth_gate,q10,selective-base,selective-gate,3.93,3.93,1.0,0.0
growth_gate,q11,selective-base,selective-gate,1.8,1.81,1.0055555555555555,0.5555555555555536
growth_gate,q12,selective-base,selective-gate,1.88,1.92,1.0212765957446808,2.127659574468077
growth_gate,q13,selective-base,selective-gate,4.52,4.74,1.0486725663716816,4.86725663716816
growth_gate,q14,selective-base,selective-gate,5.24,5.38,1.0267175572519083,2.6717557251908275
growth_gate,q15,selective-base,selective-gate,4.65,4.88,1.0494623655913977,4.946236559139772
growth_gate,q16,selective-base,selective-gate,1.82,1.98,1.0879120879120878,8.791208791208781
growth_gate,q17,selective-base,selective-gate,5.82,6.06,1.0412371134020617,4.123711340206171
growth_gate,q18,selective-base,selective-gate,5.58,5.79,1.0376344086021505,3.7634408602150504
growth_gate,q19,selective-base,selective-gate,13.85,13.72,0.9906137184115524,-0.9386281588447565
growth_gate,q20,selective-base,selective-gate,1.21,1.2,0.9917355371900827,-0.8264462809917328
growth_gate,q21,selective-base,selective-gate,7.66,9.48,1.237597911227154,23.759791122715402
growth_gate,q22,selective-base,selective-gate,7.29,8.69,1.1920438957475994,19.20438957475994
growth_gate,q23,selective-base,selective-gate,10.75,12.18,1.1330232558139535,13.302325581395348
growth_gate,q24,selective-base,selective-gate,38.14,38.47,1.0086523335081279,0.8652333508127885
growth_gate,q25,selective-base,selective-gate,1.97,2.37,1.203045685279188,20.304568527918796
growth_gate,q26,selective-base,selective-gate,1.94,2.29,1.1804123711340206,18.041237113402065
growth_gate,q27,selective-base,selective-gate,2.1,2.42,1.1523809523809523,15.238095238095228
growth_gate,q28,selective-base,selective-gate,6.63,9.01,1.358974358974359,35.897435897435905
growth_gate,q29,selective-base,selective-gate,50.87,51.81,1.0184784745429527,1.8478474542952705
growth_gate,q30,selective-base,selective-gate,1.44,1.68,1.1666666666666667,16.666666666666675
growth_gate,q31,selective-base,selective-gate,3.91,4.24,1.0843989769820972,8.43989769820972
growth_gate,q32,selective-base,selective-gate,5.47,7.88,1.440585009140768,44.058500914076795
growth_gate,q33,selective-base,selective-gate,36.54,35.49,0.971264367816092,-2.8735632183907955
growth_gate,q34,selective-base,selective-gate,25.11,27.79,1.1067303863002789,10.673038630027886
